target,window_size,feature_set,n_features,train_samples,val_samples,test_samples,epochs_trained,mae,rmse,mape,r2,mean_error,mean_over_prediction,mean_under_prediction
PTS,5,hybrid,38,1718,368,369,69,9.93624942024872,12.494394024438405,8.718042656198687,0.02086460765698428,-0.8371432131221953,9.875206442440257,-9.988396687723284
PTS,10,hybrid,38,1715,367,368,80,10.017426179802936,12.569902846337552,8.754903592626148,0.009143653537224905,-1.3107392062311591,9.768478067909797,-10.21756093642291
PTS,15,hybrid,38,1711,367,367,72,10.006005081883568,12.545721228081584,8.753790851849214,0.015085446101642863,-1.1876827520635544,9.74796474410827,-10.219113022533815
PTS,20,hybrid,38,1708,366,366,71,9.969942499379643,12.517515220489868,8.767351789938091,0.02215371665017507,-0.6026756203239738,9.966336272483648,-9.973139772710113
REB,5,hybrid,31,1718,368,369,69,5.647619707474541,7.185893835502271,13.672045044619264,0.026513300679641305,-0.2507575844038477,5.382276009224556,-5.914405491041103
REB,10,hybrid,31,1715,367,368,80,5.6663383919259775,7.225309331056329,13.65632879659442,0.018391966923035685,-0.4500320372374171,5.332224273681641,-5.986234888117367
REB,15,hybrid,31,1711,367,367,80,5.671654547917421,7.215160024863831,13.73045707484061,0.023108921872850186,-0.2530792090808347,5.493417539649247,-5.845100238759033
REB,20,hybrid,31,1708,366,366,59,5.673364826890289,7.22553694718146,13.684477155445471,0.021581983813185546,-0.4059625740259731,5.325605592674972,-6.01360494252798
AST,5,hybrid,35,1718,368,369,79,4.2389966504683665,5.273610610453113,15.689746855711547,0.041457687562198364,-0.8502546636069698,3.982311443158775,-4.429088997391035
AST,10,hybrid,35,1715,367,368,65,4.314267495404119,5.3547364851963755,15.746559063242927,0.008253701708410333,-1.2070893152900368,3.8629782779796704,-4.617862059853294
AST,15,hybrid,35,1711,367,367,53,4.543364917225019,5.612694102321473,16.148662324761727,-0.08677905730316149,-1.9828474891932852,3.6142688311063327,-5.052995681762695
AST,20,hybrid,35,1708,366,366,70,4.310414382017376,5.372098475180963,15.751508236314699,0.0070450298576771875,-1.1601967941867852,3.8952014768445813,-4.592302042409914
