target,feature_set,feature
AST,pvalue,AST_MOMENTUM_5_20
AST,pvalue,MIN
AST,pvalue,AST_ROLLING_MEAN_10
AST,pvalue,IS_HOME
AST,pvalue,FG3_PCT_ROLLING_MEAN_15
AST,pvalue,FG3M_ROLLING_MEAN_5
AST,pvalue,PTS_ROLLING_MEAN_5
AST,pvalue,FTM_ROLLING_MEAN_5
AST,pvalue,PLUS_MINUS_ROLLING_STD_5
AST,pvalue,REB_ROLLING_STD_20
AST,pvalue,FGM_ROLLING_MEAN_5
AST,pvalue,FTM_ROLLING_STD_10
AST,pvalue,TOV_ROLLING_MEAN_15
AST,random_forest,AST_ROLLING_MEAN_10
AST,random_forest,AST_TO_TOV
AST,random_forest,FT_PCT_LAG1
AST,random_forest,PLUS_MINUS_LAG1
AST,random_forest,FG3_PCT_LAG1
AST,random_forest,REB_BALANCE_LAG1
AST,random_forest,FG3_PCT_ROLLING_MEAN_10
AST,random_forest,FG_PCT_LAG1
AST,random_forest,TOV_LAG1
AST,random_forest,PTS_LAG1
AST,random_forest,REB_LAG1
AST,random_forest,OREB_ROLLING_STD_5
AST,random_forest,AST_LAG1
AST,random_forest,FT_PCT_ROLLING_STD_10
AST,random_forest,PF_ROLLING_STD_10
AST,random_forest,AST_ROLLING_STD_5
AST,random_forest,FT_PCT_ROLLING_STD_5
AST,random_forest,DREB_ROLLING_STD_5
AST,random_forest,DREB_ROLLING_STD_10
AST,random_forest,FG3_PCT_MOMENTUM_5_10
AST,random_forest,FG_PCT_ROLLING_STD_5
AST,random_forest,BLK_ROLLING_STD_5
AST,random_forest,PLUS_MINUS_ROLLING_STD_5
AST,random_forest,FG3_PCT_ROLLING_STD_5
AST,random_forest,AST_ROLLING_MEAN_5
AST,random_forest,FGA_ROLLING_STD_10
AST,random_forest,FGM_ROLLING_STD_5
AST,random_forest,DREB_LAG1
AST,random_forest,STL_ROLLING_STD_5
AST,random_forest,PTS_ROLLING_STD_5
AST,random_forest,FG_PCT_ROLLING_MEAN_5
AST,random_forest,PF_ROLLING_STD_5
AST,random_forest,FGA_ROLLING_STD_5
AST,random_forest,PLUS_MINUS_ROLLING_STD_20
AST,random_forest,BLK_ROLLING_STD_10
AST,random_forest,FG3A_ROLLING_STD_5
AST,random_forest,FT_PCT_ROLLING_MEAN_5
AST,random_forest,FG_PCT_ROLLING_MEAN_10
AST,random_forest,FGA_ROLLING_MEAN_5
AST,random_forest,FG3_PCT_ROLLING_MEAN_5
AST,random_forest,TOV_ROLLING_STD_5
AST,random_forest,AST_MOMENTUM_5_20
AST,random_forest,REB_ROLLING_STD_10
AST,random_forest,REB_ROLLING_STD_5
AST,random_forest,FTA_ROLLING_STD_10
AST,random_forest,PLUS_MINUS_MOMENTUM_5_10
AST,random_forest,FTM_ROLLING_STD_5
AST,random_forest,FTA_ROLLING_STD_5
AST,random_forest,PTS_ROLLING_MEAN_5
AST,random_forest,FT_PCT_ROLLING_MEAN_10
AST,random_forest,OREB_LAG1
AST,random_forest,STL_ROLLING_STD_10
AST,random_forest,PLUS_MINUS_MOMENTUM_5_20
AST,random_forest,BLK_ROLLING_STD_15
AST,random_forest,FT_PCT_ROLLING_STD_15
AST,random_forest,FT_PCT_MOMENTUM_5_10
AST,random_forest,FG3_PCT_ROLLING_STD_10
AST,random_forest,FG3_PCT_ROLLING_MEAN_15
AST,random_forest,PLUS_MINUS_ROLLING_STD_10
AST,random_forest,OREB_ROLLING_MEAN_15
AST,random_forest,FGA_ROLLING_MEAN_10
AST,random_forest,PTS_MOMENTUM_5_10
AST,random_forest,FG3M_ROLLING_STD_5
AST,random_forest,PTS_ROLLING_STD_10
AST,random_forest,DREB_ROLLING_STD_15
AST,random_forest,OREB_ROLLING_STD_10
AST,random_forest,FG3A_ROLLING_STD_10
AST,random_forest,REB_MOMENTUM_5_10
AST,random_forest,FGM_ROLLING_STD_10
AST,random_forest,OREB_ROLLING_STD_20
AST,random_forest,REB_ROLLING_MEAN_5
AST,random_forest,AST_ROLLING_STD_10
AST,random_forest,FGM_ROLLING_MEAN_10
AST,random_forest,DREB_ROLLING_MEAN_5
AST,random_forest,FTM_ROLLING_MEAN_5
AST,random_forest,FG3A_ROLLING_STD_20
AST,random_forest,PLUS_MINUS_ROLLING_MEAN_5
AST,random_forest,TOV_ROLLING_STD_10
AST,random_forest,FTM_ROLLING_STD_10
AST,random_forest,FG3A_ROLLING_MEAN_5
