target,feature_set,feature
PTS,pvalue,MIN
PTS,pvalue,IS_HOME
PTS,pvalue,FTM_ROLLING_STD_10
PTS,pvalue,FGA_ROLLING_STD_15
PTS,pvalue,PLUS_MINUS_ROLLING_MEAN_5
PTS,pvalue,FGM_ROLLING_MEAN_15
PTS,pvalue,FG3A_ROLLING_STD_20
PTS,pvalue,FG3A_ROLLING_STD_15
PTS,pvalue,FG_PCT_ROLLING_MEAN_15
PTS,pvalue,PLUS_MINUS_ROLLING_STD_5
PTS,pvalue,PLUS_MINUS_MOMENTUM_5_10
PTS,pvalue,LOSS_STREAK
PTS,pvalue,FGA_ROLLING_MEAN_15
PTS,pvalue,FTA_ROLLING_STD_10
PTS,pvalue,FG3M_ROLLING_STD_5
PTS,pvalue,FG3_PCT_ROLLING_MEAN_15
PTS,pvalue,BLK_ROLLING_STD_15
PTS,pvalue,FTM_ROLLING_MEAN_15
PTS,random_forest,MIN
PTS,random_forest,PTS_ROLLING_MEAN_20
PTS,random_forest,FT_PCT_LAG1
PTS,random_forest,FG_PCT_LAG1
PTS,random_forest,AST_TO_TOV
PTS,random_forest,REB_BALANCE_LAG1
PTS,random_forest,FG3_PCT_LAG1
PTS,random_forest,PTS_ROLLING_MEAN_15
PTS,random_forest,PLUS_MINUS_LAG1
PTS,random_forest,PLUS_MINUS_ROLLING_MEAN_5
PTS,random_forest,AST_LAG1
PTS,random_forest,PTS_LAG1
PTS,random_forest,FG3A_ROLLING_STD_5
PTS,random_forest,FG3_PCT_ROLLING_STD_5
PTS,random_forest,DREB_ROLLING_MEAN_15
PTS,random_forest,REB_LAG1
PTS,random_forest,REB_ROLLING_STD_5
PTS,random_forest,FG_PCT_ROLLING_STD_5
PTS,random_forest,TOV_LAG1
PTS,random_forest,DREB_ROLLING_STD_5
PTS,random_forest,FT_PCT_ROLLING_STD_10
PTS,random_forest,AST_ROLLING_MEAN_5
PTS,random_forest,AST_ROLLING_STD_5
PTS,random_forest,AST_ROLLING_MEAN_10
PTS,random_forest,FT_PCT_MOMENTUM_5_10
PTS,random_forest,FT_PCT_ROLLING_STD_5
PTS,random_forest,PTS_ROLLING_MEAN_5
PTS,random_forest,OREB_ROLLING_STD_5
PTS,random_forest,PLUS_MINUS_ROLLING_STD_5
PTS,random_forest,PF_ROLLING_STD_5
PTS,random_forest,FTM_ROLLING_STD_5
PTS,random_forest,TOV_ROLLING_STD_5
PTS,random_forest,FGA_ROLLING_MEAN_5
PTS,random_forest,DREB_LAG1
PTS,random_forest,FT_PCT_ROLLING_STD_15
PTS,random_forest,AST_MOMENTUM_5_20
PTS,random_forest,PTS_ROLLING_STD_10
PTS,random_forest,FGM_ROLLING_STD_5
PTS,random_forest,FGA_ROLLING_STD_5
PTS,random_forest,FT_PCT_ROLLING_MEAN_5
PTS,random_forest,FG3M_ROLLING_STD_5
PTS,random_forest,FG_PCT_ROLLING_MEAN_5
PTS,random_forest,REB_ROLLING_STD_10
PTS,random_forest,REB_ROLLING_MEAN_10
PTS,random_forest,BLK_ROLLING_STD_5
PTS,random_forest,PTS_ROLLING_STD_5
PTS,random_forest,FG3_PCT_ROLLING_MEAN_10
PTS,random_forest,FTA_ROLLING_STD_5
PTS,random_forest,PLUS_MINUS_MOMENTUM_5_20
PTS,random_forest,FG3_PCT_ROLLING_MEAN_5
PTS,random_forest,DREB_ROLLING_MEAN_5
PTS,random_forest,FTM_ROLLING_STD_10
PTS,random_forest,BLK_ROLLING_STD_10
PTS,random_forest,PF_ROLLING_STD_10
PTS,random_forest,TOV_ROLLING_STD_10
PTS,random_forest,FG3_PCT_MOMENTUM_5_10
PTS,random_forest,PLUS_MINUS_MOMENTUM_5_10
PTS,random_forest,BLK_ROLLING_STD_15
PTS,random_forest,PLUS_MINUS_ROLLING_STD_20
PTS,random_forest,OREB_LAG1
PTS,random_forest,STL_ROLLING_STD_5
PTS,random_forest,STL_ROLLING_MEAN_5
PTS,random_forest,REB_MOMENTUM_5_10
PTS,random_forest,FT_PCT_ROLLING_MEAN_10
PTS,random_forest,FG3_PCT_ROLLING_STD_10
PTS,random_forest,REB_MOMENTUM_5_20
PTS,random_forest,PLUS_MINUS_ROLLING_MEAN_10
PTS,random_forest,FTM_ROLLING_MEAN_5
PTS,random_forest,PTS_MOMENTUM_5_10
PTS,random_forest,PTS_MOMENTUM_5_20
PTS,random_forest,FG_PCT_MOMENTUM_5_10
PTS,random_forest,PF_ROLLING_MEAN_5
PTS,random_forest,PF_ROLLING_STD_20
PTS,random_forest,TOV_ROLLING_MEAN_5
PTS,random_forest,AST_MOMENTUM_5_10
PTS,random_forest,PLUS_MINUS_ROLLING_MEAN_15
PTS,random_forest,FG_PCT_ROLLING_STD_10
PTS,random_forest,AST_ROLLING_STD_10
PTS,random_forest,STL_ROLLING_STD_10
PTS,random_forest,FG3_PCT_ROLLING_MEAN_15
PTS,random_forest,FGA_ROLLING_MEAN_15
PTS,random_forest,DREB_ROLLING_STD_10
PTS,random_forest,FGM_ROLLING_STD_10
PTS,random_forest,FG3A_ROLLING_MEAN_5
PTS,random_forest,DREB_ROLLING_MEAN_10
PTS,random_forest,FG3A_ROLLING_STD_10
PTS,random_forest,TOV_ROLLING_MEAN_10
PTS,random_forest,PLUS_MINUS_ROLLING_STD_10
PTS,random_forest,FTM_ROLLING_MEAN_10
PTS,random_forest,AST_ROLLING_STD_15
PTS,random_forest,OREB_ROLLING_STD_15
PTS,random_forest,TOV_ROLLING_MEAN_15
PTS,random_forest,FGM_ROLLING_STD_15
PTS,random_forest,DREB_ROLLING_STD_20
PTS,random_forest,PF_ROLLING_MEAN_15
PTS,random_forest,AST_ROLLING_STD_20
PTS,random_forest,FGA_ROLLING_STD_10
PTS,random_forest,FT_PCT_MOMENTUM_5_20
PTS,random_forest,REB_ROLLING_STD_15
PTS,random_forest,FTM_ROLLING_STD_15
PTS,random_forest,FG_PCT_ROLLING_MEAN_10
PTS,random_forest,FG3A_ROLLING_STD_20
PTS,random_forest,FGM_ROLLING_MEAN_5
PTS,random_forest,FTM_ROLLING_STD_20
PTS,random_forest,REB_ROLLING_MEAN_5
PTS,random_forest,FTA_ROLLING_STD_15
