target,feature_set,feature
REB,pvalue,MIN
REB,pvalue,AST_TO_TOV
REB,pvalue,TOV_ROLLING_STD_5
REB,pvalue,AST_MOMENTUM_5_20
REB,pvalue,TOV_LAG1
REB,pvalue,PF_ROLLING_MEAN_20
REB,pvalue,PTS_MOMENTUM_5_20
REB,pvalue,AST_MOMENTUM_5_10
REB,pvalue,AST_LAG1
REB,random_forest,REB_ROLLING_MEAN_15
REB,random_forest,MIN
REB,random_forest,PLUS_MINUS_LAG1
REB,random_forest,FT_PCT_LAG1
REB,random_forest,FG3_PCT_LAG1
REB,random_forest,REB_ROLLING_MEAN_10
REB,random_forest,REB_LAG1
REB,random_forest,AST_TO_TOV
REB,random_forest,REB_BALANCE_LAG1
REB,random_forest,FG_PCT_LAG1
REB,random_forest,PTS_LAG1
REB,random_forest,AST_ROLLING_STD_5
REB,random_forest,FGM_ROLLING_STD_5
REB,random_forest,REB_ROLLING_MEAN_5
REB,random_forest,DREB_ROLLING_STD_5
REB,random_forest,OREB_ROLLING_STD_5
REB,random_forest,FG3_PCT_ROLLING_STD_5
REB,random_forest,FG3A_ROLLING_STD_5
REB,random_forest,PLUS_MINUS_ROLLING_STD_5
REB,random_forest,FG3_PCT_ROLLING_STD_10
REB,random_forest,PLUS_MINUS_ROLLING_MEAN_5
REB,random_forest,FGA_ROLLING_STD_5
REB,random_forest,REB_ROLLING_STD_10
REB,random_forest,AST_LAG1
REB,random_forest,FT_PCT_ROLLING_MEAN_5
REB,random_forest,FGA_ROLLING_MEAN_15
REB,random_forest,FTM_ROLLING_STD_15
REB,random_forest,FTM_ROLLING_MEAN_5
REB,random_forest,REB_ROLLING_STD_5
REB,random_forest,FG_PCT_ROLLING_STD_5
REB,random_forest,OREB_ROLLING_STD_10
REB,random_forest,DREB_LAG1
REB,random_forest,PF_ROLLING_STD_5
REB,random_forest,FG3A_ROLLING_STD_10
REB,random_forest,PF_ROLLING_STD_10
REB,random_forest,TOV_ROLLING_STD_5
REB,random_forest,FT_PCT_MOMENTUM_5_10
REB,random_forest,OREB_ROLLING_STD_15
REB,random_forest,PLUS_MINUS_ROLLING_MEAN_10
REB,random_forest,STL_ROLLING_STD_5
REB,random_forest,FTA_ROLLING_STD_5
REB,random_forest,FT_PCT_ROLLING_STD_5
REB,random_forest,OREB_LAG1
REB,random_forest,PF_ROLLING_MEAN_5
REB,random_forest,FG3A_ROLLING_STD_15
REB,random_forest,TOV_LAG1
REB,random_forest,TOV_ROLLING_STD_10
REB,random_forest,PTS_ROLLING_STD_5
REB,random_forest,FT_PCT_ROLLING_STD_10
REB,random_forest,FTM_ROLLING_STD_5
REB,random_forest,DREB_ROLLING_STD_20
REB,random_forest,PF_ROLLING_MEAN_20
REB,random_forest,FTM_ROLLING_STD_20
REB,random_forest,FGM_ROLLING_STD_10
REB,random_forest,FG3_PCT_MOMENTUM_5_10
REB,random_forest,FG3A_ROLLING_STD_20
REB,random_forest,DREB_ROLLING_STD_10
REB,random_forest,FG3M_ROLLING_STD_5
REB,random_forest,BLK_ROLLING_STD_5
REB,random_forest,BLK_ROLLING_STD_10
REB,random_forest,AST_ROLLING_STD_10
REB,random_forest,FT_PCT_MOMENTUM_5_20
REB,random_forest,FGA_ROLLING_MEAN_5
REB,random_forest,STL_ROLLING_STD_10
REB,random_forest,PF_ROLLING_MEAN_10
REB,random_forest,AST_ROLLING_MEAN_10
REB,random_forest,PLUS_MINUS_MOMENTUM_5_10
REB,random_forest,FG_PCT_ROLLING_MEAN_5
REB,random_forest,FTA_ROLLING_STD_15
REB,random_forest,FG3_PCT_ROLLING_MEAN_5
REB,random_forest,FTA_ROLLING_STD_10
REB,random_forest,DREB_ROLLING_MEAN_5
REB,random_forest,PF_ROLLING_STD_20
REB,random_forest,FG3A_ROLLING_MEAN_5
REB,random_forest,FTM_ROLLING_STD_10
