target,experiment,n_features,features
PTS,pvalue,18,"MIN, IS_HOME, FTM_ROLLING_STD_10, FGA_ROLLING_STD_15, PLUS_MINUS_ROLLING_MEAN_5, FGM_ROLLING_MEAN_15, FG3A_ROLLING_STD_20, FG3A_ROLLING_STD_15, FG_PCT_ROLLING_MEAN_15, PLUS_MINUS_ROLLING_STD_5, PLUS_MINUS_MOMENTUM_5_10, LOSS_STREAK, FGA_ROLLING_MEAN_15, FTA_ROLLING_STD_10, FG3M_ROLLING_STD_5, FG3_PCT_ROLLING_MEAN_15, BLK_ROLLING_STD_15, FTM_ROLLING_MEAN_15"
PTS,random_forest,166,"MIN, PTS_ROLLING_MEAN_20, FT_PCT_LAG1, FG_PCT_LAG1, AST_TO_TOV, REB_BALANCE_LAG1, FG3_PCT_LAG1, PTS_ROLLING_MEAN_15, PLUS_MINUS_LAG1, PLUS_MINUS_ROLLING_MEAN_5, AST_LAG1, PTS_LAG1, FG3A_ROLLING_STD_5, FG3_PCT_ROLLING_STD_5, DREB_ROLLING_MEAN_15, REB_LAG1, REB_ROLLING_STD_5, FG_PCT_ROLLING_STD_5, TOV_LAG1, DREB_ROLLING_STD_5, FT_PCT_ROLLING_STD_10, AST_ROLLING_MEAN_5, AST_ROLLING_STD_5, AST_ROLLING_MEAN_10, FT_PCT_MOMENTUM_5_10, FT_PCT_ROLLING_STD_5, PTS_ROLLING_MEAN_5, OREB_ROLLING_STD_5, PLUS_MINUS_ROLLING_STD_5, PF_ROLLING_STD_5, FTM_ROLLING_STD_5, TOV_ROLLING_STD_5, FGA_ROLLING_MEAN_5, DREB_LAG1, FT_PCT_ROLLING_STD_15, AST_MOMENTUM_5_20, PTS_ROLLING_STD_10, FGM_ROLLING_STD_5, FGA_ROLLING_STD_5, FT_PCT_ROLLING_MEAN_5, FG3M_ROLLING_STD_5, FG_PCT_ROLLING_MEAN_5, REB_ROLLING_STD_10, REB_ROLLING_MEAN_10, BLK_ROLLING_STD_5, PTS_ROLLING_STD_5, FG3_PCT_ROLLING_MEAN_10, FTA_ROLLING_STD_5, PLUS_MINUS_MOMENTUM_5_20, FG3_PCT_ROLLING_MEAN_5, DREB_ROLLING_MEAN_5, FTM_ROLLING_STD_10, BLK_ROLLING_STD_10, PF_ROLLING_STD_10, TOV_ROLLING_STD_10, FG3_PCT_MOMENTUM_5_10, PLUS_MINUS_MOMENTUM_5_10, BLK_ROLLING_STD_15, PLUS_MINUS_ROLLING_STD_20, OREB_LAG1, STL_ROLLING_STD_5, STL_ROLLING_MEAN_5, REB_MOMENTUM_5_10, FT_PCT_ROLLING_MEAN_10, FG3_PCT_ROLLING_STD_10, REB_MOMENTUM_5_20, PLUS_MINUS_ROLLING_MEAN_10, FTM_ROLLING_MEAN_5, PTS_MOMENTUM_5_10, PTS_MOMENTUM_5_20, FG_PCT_MOMENTUM_5_10, PF_ROLLING_MEAN_5, PF_ROLLING_STD_20, TOV_ROLLING_MEAN_5, AST_MOMENTUM_5_10, PLUS_MINUS_ROLLING_MEAN_15, FG_PCT_ROLLING_STD_10, AST_ROLLING_STD_10, STL_ROLLING_STD_10, FG3_PCT_ROLLING_MEAN_15, FGA_ROLLING_MEAN_15, DREB_ROLLING_STD_10, FGM_ROLLING_STD_10, FG3A_ROLLING_MEAN_5, DREB_ROLLING_MEAN_10, FG3A_ROLLING_STD_10, TOV_ROLLING_MEAN_10, PLUS_MINUS_ROLLING_STD_10, FTM_ROLLING_MEAN_10, AST_ROLLING_STD_15, OREB_ROLLING_STD_15, TOV_ROLLING_MEAN_15, FGM_ROLLING_STD_15, DREB_ROLLING_STD_20, PF_ROLLING_MEAN_15, AST_ROLLING_STD_20, FGA_ROLLING_STD_10, FT_PCT_MOMENTUM_5_20, REB_ROLLING_STD_15, FTM_ROLLING_STD_15, FG_PCT_ROLLING_MEAN_10, FG3A_ROLLING_STD_20, FGM_ROLLING_MEAN_5, FTM_ROLLING_STD_20, REB_ROLLING_MEAN_5, FTA_ROLLING_STD_15, OREB_ROLLING_STD_10, BLK_ROLLING_STD_20, FGA_ROLLING_STD_20, BLK_ROLLING_MEAN_5, FGM_ROLLING_MEAN_15, FG_PCT_ROLLING_STD_15, OREB_ROLLING_STD_20, PTS_ROLLING_STD_20, FGM_ROLLING_STD_20, PF_ROLLING_STD_15, PTS_ROLLING_MEAN_10, FTA_ROLLING_STD_10, PLUS_MINUS_ROLLING_STD_15, FG_PCT_ROLLING_MEAN_20, STL_ROLLING_STD_15, FTM_ROLLING_MEAN_15, OREB_ROLLING_MEAN_5, DREB_ROLLING_STD_15, FGA_ROLLING_MEAN_10, FG3_PCT_ROLLING_STD_20, FG3M_ROLLING_STD_15, STL_ROLLING_STD_20, FG_PCT_MOMENTUM_5_20, FG3M_ROLLING_MEAN_5, FG3M_ROLLING_STD_10, FG3_PCT_ROLLING_MEAN_20, FG3M_ROLLING_MEAN_10, FG_PCT_ROLLING_STD_20, FT_PCT_ROLLING_STD_20, FTM_ROLLING_MEAN_20, STL_ROLLING_MEAN_10, FT_PCT_ROLLING_MEAN_15, FG3A_ROLLING_STD_15, TOV_ROLLING_STD_20, PTS_ROLLING_STD_15, FG3A_ROLLING_MEAN_10, STL_ROLLING_MEAN_15, FTA_ROLLING_STD_20, FG3M_ROLLING_STD_20, FG3_PCT_ROLLING_STD_15, FG3_PCT_MOMENTUM_5_20, FGA_ROLLING_STD_15, FT_PCT_ROLLING_MEAN_20, TOV_ROLLING_STD_15, FGM_ROLLING_MEAN_20, FGM_ROLLING_MEAN_10, PF_ROLLING_MEAN_10, REB_ROLLING_STD_20, OREB_ROLLING_MEAN_10, FG_PCT_ROLLING_MEAN_15, TOV_ROLLING_MEAN_20, REB_ROLLING_MEAN_15, BLK_ROLLING_MEAN_10, BLK_ROLLING_MEAN_15, PF_ROLLING_MEAN_20, DAYS_REST, OREB_ROLLING_MEAN_15, WIN_STREAK, IS_HOME, LOSS_STREAK"
PTS,intersection,18,"BLK_ROLLING_STD_15, FG3A_ROLLING_STD_15, FG3A_ROLLING_STD_20, FG3M_ROLLING_STD_5, FG3_PCT_ROLLING_MEAN_15, FGA_ROLLING_MEAN_15, FGA_ROLLING_STD_15, FGM_ROLLING_MEAN_15, FG_PCT_ROLLING_MEAN_15, FTA_ROLLING_STD_10, FTM_ROLLING_MEAN_15, FTM_ROLLING_STD_10, IS_HOME, LOSS_STREAK, MIN, PLUS_MINUS_MOMENTUM_5_10, PLUS_MINUS_ROLLING_MEAN_5, PLUS_MINUS_ROLLING_STD_5"
PTS,top_10_rf,10,"MIN, PTS_ROLLING_MEAN_20, FT_PCT_LAG1, FG_PCT_LAG1, AST_TO_TOV, REB_BALANCE_LAG1, FG3_PCT_LAG1, PTS_ROLLING_MEAN_15, PLUS_MINUS_LAG1, PLUS_MINUS_ROLLING_MEAN_5"
PTS,top_20_rf,20,"MIN, PTS_ROLLING_MEAN_20, FT_PCT_LAG1, FG_PCT_LAG1, AST_TO_TOV, REB_BALANCE_LAG1, FG3_PCT_LAG1, PTS_ROLLING_MEAN_15, PLUS_MINUS_LAG1, PLUS_MINUS_ROLLING_MEAN_5, AST_LAG1, PTS_LAG1, FG3A_ROLLING_STD_5, FG3_PCT_ROLLING_STD_5, DREB_ROLLING_MEAN_15, REB_LAG1, REB_ROLLING_STD_5, FG_PCT_ROLLING_STD_5, TOV_LAG1, DREB_ROLLING_STD_5"
PTS,hybrid,40,"AST_LAG1, AST_TO_TOV, BLK_ROLLING_STD_15, DAYS_REST, DREB_ROLLING_MEAN_15, DREB_ROLLING_STD_5, FG3A_ROLLING_STD_15, FG3A_ROLLING_STD_20, FG3A_ROLLING_STD_5, FG3M_ROLLING_STD_5, FG3_PCT_LAG1, FG3_PCT_ROLLING_MEAN_15, FG3_PCT_ROLLING_STD_5, FGA_ROLLING_MEAN_15, FGA_ROLLING_STD_15, FGM_ROLLING_MEAN_15, FG_PCT_LAG1, FG_PCT_ROLLING_MEAN_15, FG_PCT_ROLLING_STD_5, FTA_ROLLING_STD_10, FTM_ROLLING_MEAN_15, FTM_ROLLING_STD_10, FT_PCT_LAG1, IS_HOME, LOSS_STREAK, MIN, PLUS_MINUS_LAG1, PLUS_MINUS_MOMENTUM_5_10, PLUS_MINUS_ROLLING_MEAN_5, PLUS_MINUS_ROLLING_STD_5, PTS_LAG1, PTS_ROLLING_MEAN_15, PTS_ROLLING_MEAN_20, REB_BALANCE_LAG1, REB_LAG1, REB_ROLLING_STD_5, SHOOTING_EFFICIENCY_LAG1, TOV_LAG1, WIN_STREAK, W_PCT_LAG1"
REB,pvalue,9,"MIN, AST_TO_TOV, TOV_ROLLING_STD_5, AST_MOMENTUM_5_20, TOV_LAG1, PF_ROLLING_MEAN_20, PTS_MOMENTUM_5_20, AST_MOMENTUM_5_10, AST_LAG1"
REB,random_forest,166,"REB_ROLLING_MEAN_15, MIN, PLUS_MINUS_LAG1, FT_PCT_LAG1, FG3_PCT_LAG1, REB_ROLLING_MEAN_10, REB_LAG1, AST_TO_TOV, REB_BALANCE_LAG1, FG_PCT_LAG1, PTS_LAG1, AST_ROLLING_STD_5, FGM_ROLLING_STD_5, REB_ROLLING_MEAN_5, DREB_ROLLING_STD_5, OREB_ROLLING_STD_5, FG3_PCT_ROLLING_STD_5, FG3A_ROLLING_STD_5, PLUS_MINUS_ROLLING_STD_5, FG3_PCT_ROLLING_STD_10, PLUS_MINUS_ROLLING_MEAN_5, FGA_ROLLING_STD_5, REB_ROLLING_STD_10, AST_LAG1, FT_PCT_ROLLING_MEAN_5, FGA_ROLLING_MEAN_15, FTM_ROLLING_STD_15, FTM_ROLLING_MEAN_5, REB_ROLLING_STD_5, FG_PCT_ROLLING_STD_5, OREB_ROLLING_STD_10, DREB_LAG1, PF_ROLLING_STD_5, FG3A_ROLLING_STD_10, PF_ROLLING_STD_10, TOV_ROLLING_STD_5, FT_PCT_MOMENTUM_5_10, OREB_ROLLING_STD_15, PLUS_MINUS_ROLLING_MEAN_10, STL_ROLLING_STD_5, FTA_ROLLING_STD_5, FT_PCT_ROLLING_STD_5, OREB_LAG1, PF_ROLLING_MEAN_5, FG3A_ROLLING_STD_15, TOV_LAG1, TOV_ROLLING_STD_10, PTS_ROLLING_STD_5, FT_PCT_ROLLING_STD_10, FTM_ROLLING_STD_5, DREB_ROLLING_STD_20, PF_ROLLING_MEAN_20, FTM_ROLLING_STD_20, FGM_ROLLING_STD_10, FG3_PCT_MOMENTUM_5_10, FG3A_ROLLING_STD_20, DREB_ROLLING_STD_10, FG3M_ROLLING_STD_5, BLK_ROLLING_STD_5, BLK_ROLLING_STD_10, AST_ROLLING_STD_10, FT_PCT_MOMENTUM_5_20, FGA_ROLLING_MEAN_5, STL_ROLLING_STD_10, PF_ROLLING_MEAN_10, AST_ROLLING_MEAN_10, PLUS_MINUS_MOMENTUM_5_10, FG_PCT_ROLLING_MEAN_5, FTA_ROLLING_STD_15, FG3_PCT_ROLLING_MEAN_5, FTA_ROLLING_STD_10, DREB_ROLLING_MEAN_5, PF_ROLLING_STD_20, FG3A_ROLLING_MEAN_5, FTM_ROLLING_STD_10, FG_PCT_ROLLING_MEAN_10, FTA_ROLLING_STD_20, PLUS_MINUS_ROLLING_STD_10, DREB_ROLLING_STD_15, FG3_PCT_ROLLING_STD_15, FG_PCT_ROLLING_STD_10, AST_ROLLING_STD_15, TOV_ROLLING_MEAN_5, FG_PCT_MOMENTUM_5_10, FT_PCT_ROLLING_STD_15, TOV_ROLLING_STD_15, FT_PCT_ROLLING_STD_20, FG3_PCT_ROLLING_MEAN_15, FG3M_ROLLING_STD_10, REB_ROLLING_STD_15, STL_ROLLING_MEAN_5, STL_ROLLING_MEAN_10, FGA_ROLLING_MEAN_10, PF_ROLLING_STD_15, PLUS_MINUS_ROLLING_STD_15, REB_MOMENTUM_5_10, BLK_ROLLING_MEAN_5, DREB_ROLLING_MEAN_15, PLUS_MINUS_ROLLING_MEAN_15, OREB_ROLLING_MEAN_5, FG_PCT_ROLLING_STD_20, PTS_ROLLING_MEAN_5, FT_PCT_ROLLING_MEAN_10, STL_ROLLING_STD_15, FG3_PCT_MOMENTUM_5_20, AST_ROLLING_MEAN_5, FGA_ROLLING_STD_15, AST_MOMENTUM_5_20, FG3_PCT_ROLLING_MEAN_10, AST_ROLLING_STD_20, PTS_ROLLING_STD_20, DREB_ROLLING_MEAN_10, PTS_MOMENTUM_5_10, BLK_ROLLING_STD_20, OREB_ROLLING_STD_20, FGA_ROLLING_STD_10, PTS_ROLLING_STD_15, REB_ROLLING_STD_20, TOV_ROLLING_MEAN_10, PTS_ROLLING_STD_10, FGM_ROLLING_STD_20, PTS_ROLLING_MEAN_15, TOV_ROLLING_MEAN_15, AST_MOMENTUM_5_10, FGM_ROLLING_STD_15, PLUS_MINUS_ROLLING_STD_20, OREB_ROLLING_MEAN_10, FG3_PCT_ROLLING_MEAN_20, REB_MOMENTUM_5_20, FG3M_ROLLING_STD_15, FG3_PCT_ROLLING_STD_20, TOV_ROLLING_STD_20, BLK_ROLLING_STD_15, FG3M_ROLLING_MEAN_5, FG3A_ROLLING_MEAN_10, FG_PCT_ROLLING_STD_15, PTS_ROLLING_MEAN_10, FGM_ROLLING_MEAN_5, FT_PCT_ROLLING_MEAN_15, STL_ROLLING_MEAN_15, STL_ROLLING_STD_20, FT_PCT_ROLLING_MEAN_20, FG_PCT_ROLLING_MEAN_20, PTS_ROLLING_MEAN_20, PLUS_MINUS_MOMENTUM_5_20, FG_PCT_MOMENTUM_5_20, FGM_ROLLING_MEAN_20, FTM_ROLLING_MEAN_10, PF_ROLLING_MEAN_15, TOV_ROLLING_MEAN_20, OREB_ROLLING_MEAN_15, FG_PCT_ROLLING_MEAN_15, BLK_ROLLING_MEAN_10, FGM_ROLLING_MEAN_15, FGA_ROLLING_STD_20, FG3M_ROLLING_STD_20, FG3M_ROLLING_MEAN_10, BLK_ROLLING_MEAN_15, PTS_MOMENTUM_5_20, DAYS_REST, LOSS_STREAK, FGM_ROLLING_MEAN_10, FTM_ROLLING_MEAN_20, FTM_ROLLING_MEAN_15, WIN_STREAK, IS_HOME"
REB,intersection,9,"AST_LAG1, AST_MOMENTUM_5_10, AST_MOMENTUM_5_20, AST_TO_TOV, MIN, PF_ROLLING_MEAN_20, PTS_MOMENTUM_5_20, TOV_LAG1, TOV_ROLLING_STD_5"
REB,top_10_rf,10,"REB_ROLLING_MEAN_15, MIN, PLUS_MINUS_LAG1, FT_PCT_LAG1, FG3_PCT_LAG1, REB_ROLLING_MEAN_10, REB_LAG1, AST_TO_TOV, REB_BALANCE_LAG1, FG_PCT_LAG1"
