feature,p_value
AST_MOMENTUM_5_20,0.00010003860789843459
MIN,0.0018854826204684693
AST_ROLLING_MEAN_10,0.0031402532977027517
IS_HOME,0.004931045965195895
FG3_PCT_ROLLING_MEAN_15,0.017923830509430458
FG3M_ROLLING_MEAN_5,0.018500640411621732
PTS_ROLLING_MEAN_5,0.03619326891170736
FTM_ROLLING_MEAN_5,0.03654576203567974
PLUS_MINUS_ROLLING_STD_5,0.037554886869113666
REB_ROLLING_STD_20,0.038038265160074754
FGM_ROLLING_MEAN_5,0.0389694068697957
FTM_ROLLING_STD_10,0.04651165782630846
TOV_ROLLING_MEAN_15,0.046686561583350286
LOSS_STREAK,0.05086959202490811
FG3_PCT_ROLLING_MEAN_10,0.05288668028463382
TOV_ROLLING_MEAN_10,0.05392970716431153
FG3A_ROLLING_STD_10,0.05504296367111816
PLUS_MINUS_ROLLING_MEAN_5,0.05804808413720929
REB_ROLLING_STD_15,0.0647705825249533
OREB_ROLLING_STD_5,0.07341295644394515
PLUS_MINUS_MOMENTUM_5_10,0.08534753864402014
FTA_ROLLING_STD_15,0.08802277033845328
FTM_ROLLING_STD_15,0.09107844347940082
FGM_ROLLING_MEAN_15,0.09288178200933642
STL_ROLLING_MEAN_10,0.09516944504455585
PLUS_MINUS_ROLLING_MEAN_10,0.10023605635498459
FGA_ROLLING_MEAN_15,0.10132981442898799
FG3A_ROLLING_MEAN_10,0.10301812122173845
FGA_ROLLING_STD_15,0.10400948791232932
FGM_ROLLING_MEAN_10,0.10429310928500647
FG_PCT_ROLLING_MEAN_15,0.10650168784750662
PTS_MOMENTUM_5_20,0.1239549244440522
PTS_LAG1,0.12478577950612965
FG3M_ROLLING_STD_5,0.14522010845959038
FG3A_ROLLING_STD_15,0.155100792081754
FG_PCT_LAG1,0.15809181954260373
FG3A_ROLLING_STD_20,0.17689438139488625
TOV_ROLLING_MEAN_20,0.19286334605935945
FGA_ROLLING_MEAN_10,0.2068800314800474
AST_MOMENTUM_5_10,0.2095139109938952
BLK_ROLLING_STD_20,0.21089519870059487
FGM_ROLLING_STD_15,0.2112998315180247
FGM_ROLLING_STD_10,0.21904895864273394
FT_PCT_MOMENTUM_5_20,0.2249557704302791
FGA_ROLLING_STD_20,0.22557986638750094
FG3_PCT_ROLLING_MEAN_5,0.24756396038911285
FG_PCT_ROLLING_MEAN_10,0.24950873098881807
FG3A_ROLLING_MEAN_5,0.26769546965755375
FT_PCT_ROLLING_MEAN_20,0.27244202666429274
DREB_ROLLING_STD_15,0.28827908961414356
STL_ROLLING_MEAN_15,0.29698699130457856
TOV_LAG1,0.30090886875412526
PTS_ROLLING_MEAN_15,0.3063261516782686
FG3M_ROLLING_MEAN_10,0.3080366909039449
REB_ROLLING_MEAN_10,0.31298848277379976
OREB_ROLLING_MEAN_5,0.3215339832634165
PTS_ROLLING_MEAN_20,0.3344496066991981
FTA_ROLLING_STD_10,0.3509384626515233
FGM_ROLLING_STD_20,0.35316859159714464
FT_PCT_LAG1,0.37105304422719043
TOV_ROLLING_STD_5,0.3753685920655143
FTM_ROLLING_MEAN_15,0.3950080658425076
OREB_ROLLING_STD_10,0.40481636923134146
FT_PCT_ROLLING_MEAN_5,0.41112399740485195
PF_ROLLING_MEAN_10,0.41841507171358017
PLUS_MINUS_ROLLING_STD_15,0.42455629794355954
REB_MOMENTUM_5_10,0.43172496439717456
DREB_ROLLING_STD_20,0.4357763003953453
STL_ROLLING_MEAN_5,0.4378578682932953
PLUS_MINUS_ROLLING_STD_20,0.4423667988592178
