feature,p_value
MIN,1.7988048048161892e-21
IS_HOME,0.00042528035235375543
FTM_ROLLING_STD_10,0.0016051923790512995
FGA_ROLLING_STD_15,0.004416378219858521
PLUS_MINUS_ROLLING_MEAN_5,0.008162951286228686
FGM_ROLLING_MEAN_15,0.008352960555258788
FG3A_ROLLING_STD_20,0.008765544968410578
FG3A_ROLLING_STD_15,0.009678794292870017
FG_PCT_ROLLING_MEAN_15,0.012975330589301849
PLUS_MINUS_ROLLING_STD_5,0.013063708126173218
PLUS_MINUS_MOMENTUM_5_10,0.014992027781890432
LOSS_STREAK,0.01951817885983572
FGA_ROLLING_MEAN_15,0.02598081348117988
FTA_ROLLING_STD_10,0.027559155039999925
FG3M_ROLLING_STD_5,0.03161508426467748
FG3_PCT_ROLLING_MEAN_15,0.03719336894904338
BLK_ROLLING_STD_15,0.04422542214414943
FTM_ROLLING_MEAN_15,0.04874979898604144
FT_PCT_MOMENTUM_5_20,0.050706776408254134
PTS_ROLLING_MEAN_15,0.051478418689592735
FG3_PCT_ROLLING_MEAN_10,0.056600636730207696
FG3_PCT_ROLLING_STD_5,0.05986734576361864
PF_ROLLING_MEAN_10,0.06370889186462995
FGM_ROLLING_STD_15,0.06430944018612512
OREB_ROLLING_STD_20,0.06765770839357646
FTA_ROLLING_STD_5,0.07045624446809046
REB_ROLLING_STD_15,0.07660983220771264
PTS_LAG1,0.07667487171294003
FTM_ROLLING_STD_15,0.08144519196629149
FG3_PCT_ROLLING_MEAN_5,0.08148100741073132
FG3A_ROLLING_MEAN_5,0.09038690296754459
FG3A_ROLLING_MEAN_10,0.0904238027403528
OREB_ROLLING_STD_5,0.09189302184431768
TOV_ROLLING_MEAN_10,0.09404415068254421
FG3A_ROLLING_STD_10,0.11016101347265617
FGA_ROLLING_STD_20,0.11939513502905058
DREB_ROLLING_STD_15,0.11958864002276738
FT_PCT_ROLLING_STD_10,0.13309605730127436
FG3_PCT_MOMENTUM_5_20,0.14627780672304308
REB_MOMENTUM_5_10,0.1470392360405034
FG3M_ROLLING_MEAN_10,0.17180158315690175
AST_ROLLING_STD_5,0.17229961576888592
FT_PCT_ROLLING_MEAN_10,0.1774336286145151
FG_PCT_ROLLING_MEAN_20,0.19500511882467056
PLUS_MINUS_ROLLING_MEAN_10,0.20747013927034136
FG3_PCT_LAG1,0.21194847904070327
FT_PCT_LAG1,0.21514524513377897
