feature,p_value
MIN,3.326205265413314e-13
AST_TO_TOV,0.006156507601935448
TOV_ROLLING_STD_5,0.014350274509211494
AST_MOMENTUM_5_20,0.025191104589883568
TOV_LAG1,0.026099275142376838
PF_ROLLING_MEAN_20,0.03914681901227388
PTS_MOMENTUM_5_20,0.044615145251693904
AST_MOMENTUM_5_10,0.04905756005182362
AST_LAG1,0.049103050876558356
WIN_STREAK,0.064471110893808
PF_ROLLING_STD_15,0.07757471725128583
BLK_ROLLING_STD_10,0.07955713338618525
PF_ROLLING_STD_20,0.08754417974369945
BLK_ROLLING_STD_15,0.10349117104003014
FGA_ROLLING_STD_5,0.10644463844662028
DAYS_REST,0.11630417574370977
OREB_ROLLING_STD_15,0.15354129113987133
FGA_ROLLING_STD_10,0.17091159735686176
REB_ROLLING_STD_10,0.18284168694225386
STL_ROLLING_MEAN_5,0.19601661806467838
AST_ROLLING_MEAN_10,0.19639235567543345
PLUS_MINUS_ROLLING_STD_10,0.20435405642522042
DREB_ROLLING_STD_10,0.21687676850394388
FG3A_ROLLING_MEAN_5,0.21734857757355525
REB_BALANCE_LAG1,0.22247869516919017
AST_ROLLING_MEAN_5,0.225492200770365
FG_PCT_MOMENTUM_5_20,0.23669093077984135
PTS_MOMENTUM_5_10,0.2445451208498184
TOV_ROLLING_STD_15,0.26360727102290304
FTA_ROLLING_STD_15,0.2663214527185992
FT_PCT_ROLLING_STD_5,0.27155496930131745
REB_MOMENTUM_5_20,0.28533681892661583
PLUS_MINUS_LAG1,0.28709113940187125
PLUS_MINUS_ROLLING_STD_5,0.2980283427634742
OREB_ROLLING_STD_5,0.30370449399507216
FG3A_ROLLING_MEAN_10,0.3223315636361016
PTS_LAG1,0.32609640115591965
OREB_ROLLING_MEAN_5,0.3290993192183991
FG3M_ROLLING_STD_15,0.3310369424638586
FG3_PCT_MOMENTUM_5_10,0.3379442481777504
FTA_ROLLING_STD_10,0.3611768876970699
LOSS_STREAK,0.3652223933224461
STL_ROLLING_STD_15,0.36791883166026695
AST_ROLLING_STD_10,0.37011025439918255
FG3_PCT_LAG1,0.37961868012252487
DREB_ROLLING_STD_5,0.38268990770062905
BLK_ROLLING_MEAN_5,0.3861652389388148
FT_PCT_ROLLING_MEAN_5,0.38992668690847676
AST_ROLLING_STD_5,0.40544951937909535
FG_PCT_ROLLING_STD_15,0.42346952164206475
STL_ROLLING_STD_5,0.42576215095725944
FG_PCT_ROLLING_MEAN_15,0.43132449198207123
FG3_PCT_ROLLING_STD_15,0.4314504165620935
PF_ROLLING_MEAN_5,0.4348473706626036
FG3_PCT_ROLLING_MEAN_15,0.43709087634892785
TOV_ROLLING_STD_10,0.4383504119134465
FG3_PCT_ROLLING_STD_5,0.4401910189247358
FG3A_ROLLING_STD_10,0.4421130575293618
FT_PCT_ROLLING_STD_10,0.4445459528449205
PLUS_MINUS_ROLLING_MEAN_5,0.45424791180400836
BLK_ROLLING_MEAN_15,0.4732551887609586
FG3M_ROLLING_STD_10,0.47640935577033827
PLUS_MINUS_ROLLING_STD_20,0.4865907076682996
FT_PCT_LAG1,0.49720745726829974
FT_PCT_ROLLING_MEAN_10,0.5040675237403541
TOV_ROLLING_MEAN_5,0.5055859956529758
FGM_ROLLING_STD_20,0.5148431991325013
FG_PCT_ROLLING_STD_5,0.5206144017240163
PTS_ROLLING_STD_20,0.5320902051616934
FG_PCT_ROLLING_STD_20,0.5460816549915187
FGM_ROLLING_MEAN_15,0.550387376345826
TOV_ROLLING_MEAN_15,0.5514068472053963
FG_PCT_ROLLING_STD_10,0.5520452152633571
REB_ROLLING_STD_20,0.5560382186209079
FT_PCT_ROLLING_STD_20,0.5613011575979769
FGM_ROLLING_STD_10,0.5644707646686302
TOV_ROLLING_MEAN_10,0.5647644791171511
PLUS_MINUS_MOMENTUM_5_20,0.5692297164623275
STL_ROLLING_MEAN_10,0.5720127238665997
FG_PCT_LAG1,0.5746082214175285
AST_ROLLING_STD_20,0.576910653136578
TOV_ROLLING_MEAN_20,0.5778847227183952
FTM_ROLLING_STD_15,0.5803670510869434
OREB_ROLLING_STD_10,0.5880669561747706
FGA_ROLLING_STD_20,0.5935157991451281
FGA_ROLLING_MEAN_15,0.5955699107928185
PF_ROLLING_MEAN_15,0.5989947205923289
DREB_ROLLING_MEAN_5,0.6080609100238896
PTS_ROLLING_STD_10,0.6121099369556643
FGM_ROLLING_STD_5,0.6133627752854226
STL_ROLLING_STD_10,0.6139863678989987
FG3M_ROLLING_STD_20,0.6401215656690962
DREB_ROLLING_STD_20,0.644179432087014
FG_PCT_ROLLING_MEAN_10,0.6512876656323503
FG3M_ROLLING_STD_5,0.6527886088070308
PF_ROLLING_STD_10,0.6551600262712772
AST_ROLLING_STD_15,0.663127712675942
FTM_ROLLING_STD_10,0.6723323670270087
FG_PCT_ROLLING_MEAN_20,0.6815207409401968
PLUS_MINUS_MOMENTUM_5_10,0.6922081479507268
